"No.","Time","Source","Destination","Protocol","Length","Info"
"13","0.438251","10.0.0.7","20.93.28.56","TCP","55","63905  >  443 [ACK] Seq=1 Ack=1 Win=516 Len=1 [TCP segment of a reassembled PDU]"
"16","0.526986","20.93.28.56","10.0.0.7","TCP","66","443  >  63905 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2"
"28","2.270339","34.85.166.233","10.0.0.7","TLSv1.2","81","Application Data"
"29","2.271784","10.0.0.7","34.85.166.233","TLSv1.2","85","Application Data"
"30","2.345117","10.0.0.7","13.248.151.210","TCP","55","63770  >  443 [ACK] Seq=1 Ack=1 Win=514 Len=1 [TCP segment of a reassembled PDU]"
"31","2.420233","34.85.166.233","10.0.0.7","TCP","56","443  >  51721 [ACK] Seq=28 Ack=32 Win=331 Len=0"
"32","2.423706","13.248.151.210","10.0.0.7","TCP","66","443  >  63770 [ACK] Seq=1 Ack=2 Win=129 Len=0 SLE=1 SRE=2"
"36","2.954063","15.197.213.252","10.0.0.7","TLSv1.2","94","Application Data"
"37","2.970449","10.0.0.7","15.197.213.252","TLSv1.2","96","Application Data"
"38","2.970605","10.0.0.7","15.197.213.252","TLSv1.2","96","Application Data"
"39","3.046938","15.197.213.252","10.0.0.7","TCP","56","443  >  63394 [ACK] Seq=41 Ack=85 Win=129 Len=0"
"40","3.079521","10.0.0.7","15.197.213.252","TCP","55","63903  >  443 [ACK] Seq=1 Ack=1 Win=515 Len=1 [TCP segment of a reassembled PDU]"
"41","3.156036","15.197.213.252","10.0.0.7","TCP","66","443  >  63903 [ACK] Seq=1 Ack=2 Win=114 Len=0 SLE=1 SRE=2"
"42","3.313835","10.0.0.7","54.159.251.179","TCP","55","51812  >  443 [ACK] Seq=1 Ack=1 Win=510 Len=1 [TCP segment of a reassembled PDU]"
"43","3.423303","10.0.0.7","140.82.121.6","TCP","55","51813  >  443 [ACK] Seq=1 Ack=1 Win=511 Len=1 [TCP segment of a reassembled PDU]"
"44","3.469939","54.159.251.179","10.0.0.7","TCP","66","443  >  51812 [ACK] Seq=1 Ack=2 Win=184 Len=0 SLE=1 SRE=2"
"45","3.484446","140.82.121.6","10.0.0.7","TCP","66","443  >  51813 [ACK] Seq=1 Ack=2 Win=75 Len=0 SLE=1 SRE=2"
"46","3.626411","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a00:1450:4028:801::2005","TCP","75","63768  >  443 [ACK] Seq=1 Ack=1 Win=1024 Len=1 [TCP segment of a reassembled PDU]"
"47","3.636035","2a00:1450:4028:801::2005","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","TCP","86","443  >  63768 [ACK] Seq=1 Ack=2 Win=3977 Len=0 SLE=1 SRE=2"
"51","4.360787","10.0.0.7","13.248.151.210","TCP","55","63736  >  443 [ACK] Seq=1 Ack=1 Win=514 Len=1 [TCP segment of a reassembled PDU]"
"52","4.438665","13.248.151.210","10.0.0.7","TCP","66","443  >  63736 [ACK] Seq=1 Ack=2 Win=162 Len=0 SLE=1 SRE=2"
"81","8.201239","10.0.0.7","76.223.31.44","TCP","55","63564  >  443 [ACK] Seq=1 Ack=1 Win=513 Len=1 [TCP segment of a reassembled PDU]"
"82","8.277156","76.223.31.44","10.0.0.7","TCP","66","443  >  63564 [ACK] Seq=1 Ack=2 Win=168 Len=0 SLE=1 SRE=2"
"83","8.823057","34.85.166.233","10.0.0.7","TLSv1.2","82","Application Data"
"84","8.823697","10.0.0.7","34.85.166.233","TLSv1.2","86","Application Data"
"85","8.971954","34.85.166.233","10.0.0.7","TCP","56","443  >  51721 [ACK] Seq=56 Ack=64 Win=331 Len=0"
"89","11.046053","2a03:2880:f242:c8:face:b00c:0:167","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","TLSv1.2","353","Application Data"
"90","11.092688","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a03:2880:f242:c8:face:b00c:0:167","TCP","74","51770  >  443 [ACK] Seq=1 Ack=280 Win=512 Len=0"
"91","11.128204","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a03:2880:f242:c8:face:b00c:0:167","TLSv1.2","146","Application Data"
"92","11.175274","2a03:2880:f242:c8:face:b00c:0:167","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","TCP","74","443  >  51770 [ACK] Seq=280 Ack=73 Win=296 Len=0"
"93","12.694428","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2600:9000:21f8:6400:1b:1fa2:78c0:93a1","TCP","75","51778  >  443 [ACK] Seq=1 Ack=1 Win=511 Len=1 [TCP segment of a reassembled PDU]"
"94","12.726610","2600:9000:21f8:6400:1b:1fa2:78c0:93a1","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","TCP","86","443  >  51778 [ACK] Seq=1 Ack=2 Win=133 Len=0 SLE=1 SRE=2"
"137","15.212009","10.0.0.7","34.96.118.58","TCP","55","63560  >  443 [ACK] Seq=1 Ack=1 Win=1025 Len=1 [TCP segment of a reassembled PDU]"
"138","15.224765","34.96.118.58","10.0.0.7","TCP","66","443  >  63560 [ACK] Seq=1 Ack=2 Win=7308 Len=0 SLE=1 SRE=2"
"149","16.451474","2606:4700::6812:896","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","TLSv1.2","113","Application Data"
"150","16.451755","2606:4700::6812:896","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","TCP","74","443  >  63646 [FIN, ACK] Seq=40 Ack=1 Win=106 Len=0"
"151","16.451900","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2606:4700::6812:896","TCP","74","63646  >  443 [ACK] Seq=1 Ack=41 Win=513 Len=0"
"152","16.451972","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2606:4700::6812:896","TCP","74","63646  >  443 [FIN, ACK] Seq=1 Ack=41 Win=513 Len=0"
"153","16.462515","2606:4700::6812:896","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","TCP","74","443  >  63646 [ACK] Seq=41 Ack=2 Win=106 Len=0"
"165","18.027526","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a03:2880:f242:c8:face:b00c:0:167","TLSv1.2","144","Application Data"
"166","18.075291","2a03:2880:f242:c8:face:b00c:0:167","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","TCP","74","443  >  51770 [ACK] Seq=280 Ack=143 Win=296 Len=0"
"167","18.158074","54.159.251.179","10.0.0.7","TLSv1.2","93","Application Data"
"168","18.158074","54.159.251.179","10.0.0.7","TLSv1.2","78","Application Data"
"169","18.158236","10.0.0.7","54.159.251.179","TCP","54","51812  >  443 [ACK] Seq=2 Ack=64 Win=510 Len=0"
"170","18.158512","10.0.0.7","54.159.251.179","TCP","54","51812  >  443 [FIN, ACK] Seq=2 Ack=64 Win=510 Len=0"
