"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a00:1450:4028:802::200a","UDP","91","55677  >  443 Len=29"
"2","0.014958","2a00:1450:4028:802::200a","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","87","443  >  55677 Len=25"
"3","0.187832","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a00:1450:4028:809::200a","UDP","91","60665  >  443 Len=29"
"4","0.219327","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a00:1450:4028:802::200a","UDP","91","55677  >  443 Len=29"
"5","0.223452","2a00:1450:4028:809::200a","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","87","443  >  60665 Len=25"
"6","0.232182","2a00:1450:4028:802::200a","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","87","443  >  55677 Len=25"
"7","0.440479","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a00:1450:4028:802::200a","UDP","91","55677  >  443 Len=29"
"8","0.455390","2a00:1450:4028:802::200a","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","87","443  >  55677 Len=25"
"9","0.532639","10.0.0.7","13.226.2.120","TCP","55","58683  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1 [TCP segment of a reassembled PDU]"
"10","0.544149","13.226.2.120","10.0.0.7","TCP","66","443  >  58683 [ACK] Seq=1 Ack=2 Win=133 Len=0 SLE=1 SRE=2"
"11","0.658527","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a00:1450:4028:802::200a","UDP","91","55677  >  443 Len=29"
"12","0.673535","2a00:1450:4028:802::200a","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","87","443  >  55677 Len=25"
"13","0.876977","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a00:1450:4028:802::200a","UDP","91","55677  >  443 Len=29"
"14","0.891942","2a00:1450:4028:802::200a","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","87","443  >  55677 Len=25"
"15","1.296865","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a00:1450:4028:802::200a","UDP","91","55677  >  443 Len=29"
"16","1.312681","2a00:1450:4028:802::200a","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","87","443  >  55677 Len=25"
"17","1.841482","2a03:2880:f242:1c2:face:b00c:0:167","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","TLSv1.2","307","Application Data"
"18","1.844814","20.199.120.182","10.0.0.7","TLSv1.2","433","Application Data"
"19","1.871819","10.0.0.7","20.199.120.182","TLSv1.2","189","Application Data"
"20","1.893044","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a03:2880:f242:1c2:face:b00c:0:167","TCP","74","57484  >  443 [ACK] Seq=1 Ack=234 Win=514 Len=0"
"21","1.909195","2a03:2880:f242:1c2:face:b00c:0:167","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","TCP","307","[TCP Spurious Retransmission] 443  >  57484 [PSH, ACK] Seq=1 Ack=1 Win=3830 Len=233"
"22","1.909288","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a03:2880:f242:1c2:face:b00c:0:167","TCP","86","[TCP Dup ACK 20#1] 57484  >  443 [ACK] Seq=1 Ack=234 Win=514 Len=0 SLE=1 SRE=234"
"23","1.981789","20.199.120.182","10.0.0.7","TCP","54","443  >  49600 [ACK] Seq=380 Ack=136 Win=7073 Len=0"
"24","2.127630","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a00:1450:4028:802::200a","UDP","91","55677  >  443 Len=29"
"25","2.142428","2a00:1450:4028:802::200a","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","87","443  >  55677 Len=25"
"26","2.157376","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a03:2880:f242:c6:face:b00c:0:7260","TCP","86","58724  >  80 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 WS=256 SACK_PERM"
